destination,key,heroSource,suspicion,httpStatus,width,height,cache,reasons,url
"Seville, Spain",seville|spain,none,0,,,,miss,"no-url",""
"Valencia, Spain",valencia|spain,none,0,,,,miss,"no-url",""
"Malaga, Spain",malaga|spain,none,0,,,,miss,"no-url",""
"Granada, Spain",granada|spain,none,0,,,,miss,"no-url",""
"Bilbao, Spain",bilbao|spain,none,0,,,,miss,"no-url",""
"Palma, Spain",palma|spain,none,0,,,,miss,"no-url",""
"Ibiza, Spain",ibiza|spain,none,0,,,,miss,"no-url",""
"Tenerife, Spain",tenerife|spain,none,0,,,,miss,"no-url",""
"Florence, Italy",florence|italy,none,0,,,,miss,"no-url",""
"Naples, Italy",naples|italy,none,0,,,,miss,"no-url",""
"Turin, Italy",turin|italy,none,0,,,,miss,"no-url",""
"Verona, Italy",verona|italy,none,0,,,,miss,"no-url",""
"Bologna, Italy",bologna|italy,none,0,,,,miss,"no-url",""
"Palermo, Italy",palermo|italy,none,0,,,,miss,"no-url",""
"Reykjavik, Iceland",reykjavik|iceland,none,0,,,,miss,"no-url",""
"Bruges, Belgium",bruges|belgium,none,0,,,,miss,"no-url",""
"Antwerp, Belgium",antwerp|belgium,none,0,,,,miss,"no-url",""
"Luxembourg, Luxembourg",luxembourg|luxembourg,none,0,,,,miss,"no-url",""
"Malta, Malta",malta|malta,none,0,,,,miss,"no-url",""
"Cyprus, Cyprus",cyprus|cyprus,none,0,,,,miss,"no-url",""
"Ronda, Spain",ronda|spain,commons-category,0,200,8142,4832,hit,"bonus:paysage","https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Panorama_of_Ronda.jpg/1280px-Panorama_of_Ronda.jpg"
"Salzburg, Austria",salzburg|austria,none,0,,,,miss,"no-url",""
"Innsbruck, Austria",innsbruck|austria,none,0,,,,miss,"no-url",""
"Tbilisi, Georgia",tbilisi|georgia,none,0,,,,miss,"no-url",""
"Bergen, Norway",bergen|norway,none,0,,,,miss,"no-url",""
"Bergamo, Italy",bergamo|italy,none,0,,,,miss,"no-url",""
"Como, Italy",como|italy,none,0,,,,miss,"no-url",""
"Siena, Italy",siena|italy,none,0,,,,miss,"no-url",""
"Pisa, Italy",pisa|italy,none,0,,,,miss,"no-url",""
"Cork, Ireland",cork|ireland,none,0,,,,miss,"no-url",""
"Galway, Ireland",galway|ireland,none,0,,,,miss,"no-url",""
"Rotterdam, Netherlands",rotterdam|netherlands,none,0,,,,miss,"no-url",""
"Utrecht, Netherlands",utrecht|netherlands,none,0,,,,miss,"no-url",""
"Leipzig, Germany",leipzig|germany,none,0,,,,miss,"no-url",""
"Dresden, Germany",dresden|germany,none,0,,,,miss,"no-url",""
"Stuttgart, Germany",stuttgart|germany,none,0,,,,miss,"no-url",""
"Biarritz, France",biarritz|france,none,0,,,,miss,"no-url",""
"Corsica, France",corsica|france,none,0,,,,miss,"no-url",""
"Chamonix, France",chamonix|france,none,0,,,,miss,"no-url",""
"Avignon, France",avignon|france,none,0,,,,miss,"no-url",""
"Cambridge, United Kingdom",cambridge|united kingdom,none,0,,,,miss,"no-url",""
"Oxford, United Kingdom",oxford|united kingdom,none,0,,,,miss,"no-url",""
"Bath, United Kingdom",bath|united kingdom,none,0,,,,miss,"no-url",""
"Tromsø, Norway",tromsø|norway,none,0,,,,miss,"no-url",""
"Aarhus, Denmark",aarhus|denmark,none,0,,,,miss,"no-url",""
"Odense, Denmark",odense|denmark,none,0,,,,miss,"no-url",""
"Tenerife, Canaries, spain",tenerife|canaries, spain,commons-category,0,200,1280,,hit,"","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/170214_Blick_auf_Teneriffa_mit_dem_Teide_vom_Las_Canteras.jpg/1280px-170214_Blick_auf_Teneriffa_mit_dem_Teide_vom_Las_Canteras.jpg"
"Etretat, Normandie, france",etretat|normandie, france,wikidata-commons,0,429,7979,3000,hit,"","https://upload.wikimedia.org/wikipedia/commons/d/db/Vue_d%27%C3%89tretat.jpg"
"Cassis, Region paca, france",cassis|region paca, france,wikidata-commons,0,429,4272,2848,hit,"","https://upload.wikimedia.org/wikipedia/commons/b/bd/Cassis-Port.jpg"
"Hyeres, Region paca, france",hyeres|region paca, france,wikidata-commons,0,429,1600,1200,hit,"","https://upload.wikimedia.org/wikipedia/commons/1/16/Hyeres_aeroport_porquerolles.JPG"
"Warsaw",warsaw,wikidata-commons,0,429,4885,3846,hit,"","https://upload.wikimedia.org/wikipedia/commons/7/7a/Castle_Square_%2822346p%29.jpg"
"Vienna",vienna,wikidata-commons,0,429,5184,3456,hit,"","https://upload.wikimedia.org/wikipedia/commons/1/1f/Wien_katedra_sw_Szczepana_widok_z_wiezy_6.jpg"
"Vancouver, Canada",vancouver|canada,commons-category,0,429,3456,2304,hit,"","https://upload.wikimedia.org/wikipedia/commons/2/29/08-dec-14_%283117901718%29.jpg"
"Toronto, Canada",toronto|canada,wikidata-commons,0,429,6759,3001,hit,"bonus:paysage","https://upload.wikimedia.org/wikipedia/commons/3/3c/Sunset_Toronto_Skyline_Panorama_Crop_from_Snake_Island.jpg"
"Tokyo, Japan",tokyo|japan,wikidata-commons,0,429,3618,2308,hit,"","https://upload.wikimedia.org/wikipedia/commons/e/ef/Akiba_denkigai.jpg"
"Singapore, Singapore",singapore|singapore,wikidata-commons,0,429,4586,2706,hit,"bonus:paysage","https://upload.wikimedia.org/wikipedia/commons/9/95/Sunrise-MarinaBay-Singapore-20090419.jpg"
"Shanghai, China",shanghai|china,wikidata-commons,0,429,3941,2956,hit,"","https://upload.wikimedia.org/wikipedia/commons/3/35/20191222%E9%99%86%E5%AE%B6%E5%98%B4.jpg"
"Seoul, South korea",seoul|south korea,wikidata-commons,0,429,6000,4000,hit,"","https://upload.wikimedia.org/wikipedia/commons/a/a6/%EA%B2%BD%EB%B3%B5%EA%B6%81_%EC%A0%84%EA%B2%BD.jpg"
"San francisco, United states",san francisco|united states,wikidata-commons,0,429,2048,1200,hit,"","https://upload.wikimedia.org/wikipedia/commons/1/1e/San_Francisco_from_the_Marin_Headlands_in_March_2019.jpg"
"Prague",prague,wikidata-commons,0,429,3456,2304,hit,"bonus:paysage","https://upload.wikimedia.org/wikipedia/commons/1/1f/Pet%C5%99%C3%ADn_Tower_View_IMG_3020.JPG"
